0. loanContract_id, 1. principal, 2. startingPrincipal, 3. duration, 4. payment, 5. yearlyInterestRate (%), 6. isNonPerforming, 7. nNonPerformingPeriods, 8. adjustedFirstWageForFirstMember, 9. year_of_issuance, 10. -, 11. nMonthsInterestPeriod, 12. periodOfLastInterestCalculation
20,1681796.263698488,3.363592527396973E7,228,1401574.8177682438,5.0,0,0,480513.21819956764,2017,0.0,240,-1
21,565370.4966144008,1.1307409932288006E7,228,471168.27874338365,5.0,0,0,161534.42760411437,2017,0.0,240,-1
22,612723.8467174444,1.2254476934348878E7,228,510631.5980966058,5.0,0,0,175063.95620498396,2017,0.0,240,-1
23,950882.8937118354,1.901765787423669E7,228,792446.4735949956,5.0,0,0,271680.82677480986,2017,0.0,240,-1
24,995440.070099076,1.9908801401981503E7,228,829579.5186154894,5.0,0,0,284411.4485997358,2017,0.0,240,-1
25,1297359.551827788,2.5947191036555734E7,228,1081193.0771175234,5.0,0,0,370674.1576650819,2017,0.0,240,-1
26,880236.122384866,1.7604722447697304E7,228,733570.8905141049,5.0,0,0,251496.03496710435,2017,0.0,240,-1
27,814546.9754678771,1.6290939509357529E7,228,678826.890835416,5.0,0,0,232727.70727653615,2017,0.0,240,-1
28,351905.1517819821,7038103.035639635,228,293270.5997906547,5.0,0,0,100544.32908056623,2017,0.0,240,-1
29,1272707.4961053135,2.5454149922106247E7,228,1060648.5550177682,5.0,0,0,363630.7131729464,2017,0.0,240,-1
30,1173631.186268393,2.347262372536784E7,228,978080.372472604,5.0,0,0,335323.19607668347,2017,0.0,240,-1
31,752983.413603003,1.5059668272060048E7,228,627521.0698721972,5.0,0,0,215138.11817228643,2017,0.0,240,-1
32,765887.3325764219,1.5317746651528426E7,228,638274.9336273068,5.0,0,0,218824.9521646918,2017,0.0,240,-1
33,1291067.8086703313,2.58213561734066E7,228,1075949.6662718102,5.0,0,0,368876.51676295145,2017,0.0,240,-1
34,1479576.7936430767,2.959153587286151E7,228,1233049.2222428892,5.0,0,0,422736.2267551644,2017,0.0,240,-1
35,2340052.19192144,4.680104383842876E7,228,1950151.9269925468,5.0,0,0,668586.3405489823,2017,0.0,240,-1
36,1413305.9082397951,2.826611816479588E7,228,1177820.4135355959,5.0,0,0,403801.6880685126,2017,0.0,240,-1
37,1140920.0528593045,2.281840105718607E7,228,950819.5788577982,5.0,0,0,325977.157959801,2017,0.0,240,-1
38,1668687.828161141,3.337375656322279E7,228,1390650.514066272,5.0,0,0,476767.9509031827,2017,0.0,240,-1
39,1844835.1135770073,3.689670227154011E7,228,1537448.0809214774,5.0,0,0,527095.7467362874,2017,0.0,240,-1
40,1201322.4802032064,2.4026449604064107E7,228,1001157.7339153638,5.0,0,0,343234.994343773,2017,0.0,240,-1
41,1332717.0231837041,2.665434046367406E7,228,1110659.2749811304,5.0,0,0,380776.2923382009,2017,0.0,240,-1
42,840625.226186165,1.6812504523723286E7,228,700559.9748522751,5.0,0,0,240178.63605318978,2017,0.0,240,-1
43,1709814.5776404098,3.4196291552808166E7,228,1424924.711037101,5.0,0,0,488518.45075440244,2017,0.0,240,-1
44,1079070.0402461637,2.1581400804923255E7,228,899275.0356640884,5.0,0,0,308305.72578461794,2017,0.0,240,-1
45,685633.9107693924,1.3712678215387836E7,228,571393.3633251438,5.0,0,0,195895.4030769691,2017,0.0,240,-1
46,1595003.3289327882,3.190006657865574E7,228,1329243.350304825,5.0,0,0,455715.2368379392,2017,0.0,240,-1
47,460837.022065386,9216740.441307712,228,384052.20606314176,5.0,0,0,131667.7205901102,2017,0.0,240,-1
48,992354.3952554003,1.984708790510799E7,228,827007.9799279162,5.0,0,0,283529.82721582847,2017,0.0,240,-1
49,366204.5172116965,7324090.344233924,228,305187.4002551054,5.0,0,0,104629.86206048462,2017,0.0,240,-1
50,574295.7828441449,1.1485915656882888E7,228,478606.43084955675,5.0,0,0,164084.50938404127,2017,0.0,240,-1
51,809146.212242365,1.6182924244847286E7,228,674326.0045526982,5.0,0,0,231184.63206924696,2017,0.0,240,-1
52,1220827.6069878167,2.4416552139756314E7,228,1017412.9100676565,5.0,0,0,348807.88771080447,2017,0.0,240,-1
53,547304.7135133259,1.0946094270266509E7,228,456112.6223572489,5.0,0,0,156372.77528952155,2017,0.0,240,-1
54,859198.1930406301,1.7183963860812586E7,228,716038.3078681994,5.0,0,0,245485.1980116084,2017,0.0,240,-1
55,1452776.5601203823,2.905553120240762E7,228,1210714.4524336664,5.0,0,0,415079.01717725175,2017,0.0,240,-1
56,748533.4719662179,1.4970669439324344E7,228,623812.5789727463,5.0,0,0,213866.70627606206,2017,0.0,240,-1
57,2848850.7616828154,5.697701523365626E7,228,2374174.311919126,5.0,0,0,813957.3604808036,2017,0.0,240,-1
58,1644629.568970504,3.289259137941005E7,228,1370600.849925156,5.0,0,0,469894.16256300075,2017,0.0,240,-1
59,1686308.0756530087,3.3726161513060145E7,228,1405334.8701327648,5.0,0,0,481802.30732943065,2017,0.0,240,-1
60,1382497.6487368,2.7649952974735975E7,228,1152145.436351553,5.0,0,0,394999.328210514,2017,0.0,240,-1
61,776131.7571297501,1.5522635142594988E7,228,646812.4287962493,5.0,0,0,221751.93060849982,2017,0.0,240,-1
62,449880.2135837599,8997604.27167519,228,374921.0246100535,5.0,0,0,128537.20388107415,2017,0.0,240,-1
63,438771.2352656901,8775424.705313794,228,365663.0279086579,5.0,0,0,125363.21007591135,2017,0.0,240,-1
64,2045121.5835058114,4.090243167011619E7,228,1704362.753436314,5.0,0,0,584320.4524302314,2017,0.0,240,-1
65,1581163.8891808572,3.1623277783617117E7,228,1317709.842550639,5.0,0,0,451761.11119453027,2017,0.0,240,-1
66,2097149.8774856837,4.1942997549713634E7,228,1747722.0759818808,5.0,0,0,599185.6792816233,2017,0.0,240,-1
67,1256010.1096551078,2.5120202193102136E7,228,1046733.2925830144,5.0,0,0,358860.0313300306,2017,0.0,240,-1
68,1268254.8897456974,2.5365097794913925E7,228,1056937.8433924797,5.0,0,0,362358.5399273418,2017,0.0,240,-1
69,826665.1862734272,1.653330372546853E7,228,688925.9613756934,5.0,0,0,236190.05322097903,2017,0.0,240,-1
70,708806.1614653874,1.4176123229307737E7,228,590704.6459980502,5.0,0,0,202516.0461329677,2017,0.0,240,-1
71,472899.6038022655,9457992.0760453,228,394104.91646844463,5.0,0,0,135114.17251493287,2017,0.0,240,-1
72,227161.93447637718,4543238.68952754,228,189312.13833085907,5.0,0,0,64903.40985039342,2017,0.0,240,-1
73,1568274.4370444873,3.1365488740889717E7,228,1306968.035163437,5.0,0,0,448078.4105841389,2017,0.0,240,-1
74,890401.2925068303,1.780802585013659E7,228,742042.3366510725,5.0,0,0,254400.36928766556,2017,0.0,240,-1
75,2318426.2353234612,4.6368524706469186E7,228,1932129.2943870851,5.0,0,0,662407.4958067026,2017,0.0,240,-1
76,1263527.4014537176,2.527054802907433E7,228,1052998.0507526973,5.0,0,0,361007.8289867762,2017,0.0,240,-1
77,869310.8478563462,1.7386216957126908E7,228,724465.9888164974,5.0,0,0,248374.52795895585,2017,0.0,240,-1
78,464933.71760294755,9298674.352058943,228,387466.30884446367,5.0,0,0,132838.20502941348,2017,0.0,240,-1
79,810609.3075807898,1.6212186151615782E7,228,675545.3184652055,5.0,0,0,231602.6593087969,2017,0.0,240,-1
80,838811.1726026863,1.677622345205371E7,228,699048.1794727951,5.0,0,0,239660.33502933875,2017,0.0,240,-1
81,1592176.9804592784,3.1843539609185543E7,228,1326887.9289424315,5.0,0,0,454907.7087026507,2017,0.0,240,-1
82,2618406.541701538,5.236813083403072E7,228,2182126.7835724293,5.0,0,0,748116.1547718674,2017,0.0,240,-1
83,1814360.335231042,3.628720670462081E7,228,1512051.020154531,5.0,0,0,518388.6672088687,2017,0.0,240,-1
84,409841.1766371184,8196823.532742361,228,341553.30515235005,5.0,0,0,117097.47903917659,2017,0.0,240,-1
85,1768877.1625434388,3.5377543250868745E7,228,1474146.2686414323,5.0,0,0,505393.4750124107,2017,0.0,240,-1
86,271000.04241292085,5420000.848258412,228,225845.92632212624,5.0,0,0,77428.58354654876,2017,0.0,240,-1
87,1581512.6868220381,3.1630253736440733E7,228,1318000.5234142658,5.0,0,0,451860.76766343904,2017,0.0,240,-1
88,960923.036874531,1.92184607374906E7,228,800813.7248057195,5.0,0,0,274549.4391070086,2017,0.0,240,-1
89,1689452.4718691432,3.378904943738283E7,228,1407955.3460184275,5.0,0,0,482700.7062483262,2017,0.0,240,-1
90,1461911.3363543365,2.9238226727086704E7,228,1218327.1892507304,5.0,0,0,417688.95324409584,2017,0.0,240,-1
91,1343470.88412873,2.6869417682574578E7,228,1119621.3240828353,5.0,0,0,383848.8240367797,2017,0.0,240,-1
92,2042309.7751222737,4.084619550244544E7,228,1702019.4494893248,5.0,0,0,583517.0786063634,2017,0.0,240,-1
93,1105173.5677867671,2.2103471355735324E7,228,921029.1848708254,5.0,0,0,315763.87651050463,2017,0.0,240,-1
94,477660.2815876166,9553205.631752323,228,398072.3685573102,5.0,0,0,136474.36616789034,2017,0.0,240,-1
95,1485949.8459344325,2.971899691868862E7,228,1238360.3944679012,5.0,0,0,424557.0988384089,2017,0.0,240,-1
96,2003814.7741776379,4.0076295483552724E7,228,1669938.4982477545,5.0,0,0,572518.5069078961,2017,0.0,240,-1
97,1647641.240446207,3.2952824808924112E7,228,1373110.7157102386,5.0,0,0,470754.6401274873,2017,0.0,240,-1
98,764000.7734628384,1.5280015469256755E7,228,636702.7136129662,5.0,0,0,218285.93527509653,2017,0.0,240,-1
99,0.0,1.979347137074585E7,240,824773.833438236,5.0,0,0,282763.8767249407,2018,0.0,240,-1
100,1964934.3346484052,3.929868669296807E7,228,1637536.3303251702,5.0,0,0,561409.8098995439,2017,0.0,240,-1
101,924088.9424679952,1.848177884935989E7,228,770116.9393092606,5.0,0,0,264025.41213371267,2017,0.0,240,-1
102,1343525.1699968746,2.687050339993747E7,228,1119666.5648217965,5.0,0,0,383864.334284821,2017,0.0,240,-1
103,1312419.4486525876,2.624838897305173E7,228,1093743.6889861748,5.0,0,0,374976.98532931047,2017,0.0,240,-1
104,451083.3360923664,9021666.72184732,228,375923.68245104834,5.0,0,0,128880.95316924743,2017,0.0,240,-1
105,439633.6653378545,8792673.306757081,228,366381.7595988886,5.0,0,0,125609.6186679583,2017,0.0,240,-1
106,668589.5167859129,1.3371790335718246E7,228,557188.9118663027,5.0,0,0,191025.57622454638,2017,0.0,240,-1
107,803167.5437057634,1.6063350874115253E7,228,669343.5037316674,5.0,0,0,229476.44105878935,2017,0.0,240,-1
108,515411.57273082685,1.0308231454616528E7,228,429533.52716887835,5.0,0,0,147260.44935166472,2017,0.0,240,-1
109,1577801.8096017893,3.155603619203576E7,228,1314907.953775484,5.0,0,0,450800.51702908234,2017,0.0,240,-1
110,697633.8348274578,1.3952676696549144E7,228,581393.8560946598,5.0,0,0,199323.9528078449,2017,0.0,240,-1
111,2711088.495760339,5.422176991520673E7,228,2259366.0399997802,5.0,0,0,774596.7130743819,2017,0.0,240,-1
112,672859.6282445232,1.3457192564890452E7,228,560747.5359509408,5.0,0,0,192245.6080698636,2017,0.0,240,-1
113,1618218.595812979,3.236437191625955E7,228,1348590.4817911854,5.0,0,0,462348.1702322793,2017,0.0,240,-1
114,653386.1556402537,1.3067723112805061E7,228,544518.739749062,5.0,0,0,186681.75875435804,2017,0.0,240,-1
115,2258596.049483836,4.5171920989676684E7,228,1882268.0337663717,5.0,0,0,645313.1569953812,2017,0.0,240,-1
116,565379.1522095806,1.1307583044191603E7,228,471175.4921404512,5.0,0,0,161536.90063130864,2017,0.0,240,-1
117,1189825.7360523252,2.3796514721046485E7,228,991576.5810516016,5.0,0,0,339950.21030066407,2017,0.0,240,-1
118,1325997.2147385792,2.651994429477156E7,228,1105059.1232266,5.0,0,0,378856.3470681652,2017,0.0,240,-1
119,701575.9452587883,1.4031518905175753E7,228,584679.1307909323,5.0,0,0,200450.27007393935,2017,0.0,240,-1
120,547038.1988631906,1.0940763977263803E7,228,455890.51446566964,5.0,0,0,156296.62824662577,2017,0.0,240,-1
121,1929034.2007758415,3.8580684015516795E7,228,1607617.888551705,5.0,0,0,551152.6287930971,2017,0.0,240,-1
122,1926732.8264921284,3.853465652984253E7,228,1605699.9700071495,5.0,0,0,550495.0932834648,2017,0.0,240,-1
123,946992.6053179079,1.893985210635814E7,228,789204.3863312303,5.0,0,0,270569.3158051163,2017,0.0,240,-1
124,1435987.8200341396,2.8719756400682766E7,228,1196723.0577357218,5.0,0,0,410282.2342954681,2017,0.0,240,-1
125,1890071.6050006277,3.780143210001252E7,228,1575147.2532838334,5.0,0,0,540020.4585716075,2017,0.0,240,-1
126,412002.1952570499,8240043.905140991,228,343354.2541399305,5.0,0,0,117714.91293058559,2017,0.0,240,-1
127,1958187.330163839,3.9163746603276744E7,228,1631913.5139442242,5.0,0,0,559482.094332525,2017,0.0,240,-1
128,1232144.271334381,2.46428854266876E7,228,1026843.9880832536,5.0,0,0,352041.2203812514,2017,0.0,240,-1
129,702294.2377722989,1.4045884755445965E7,228,585277.7411698815,5.0,0,0,200655.49650637095,2017,0.0,240,-1
130,669919.4531485273,1.3398389062970534E7,228,558297.2537952921,5.0,0,0,191405.5580424362,2017,0.0,240,-1
131,1773010.7949316793,3.5460215898633555E7,228,1477591.1538432392,5.0,0,0,506574.51283762226,2017,0.0,240,-1
132,721567.190110337,1.4431343802206727E7,228,601339.4278581596,5.0,0,0,206162.05431723897,2017,0.0,240,-1
133,789992.3480875706,1.5799846961751398E7,228,658363.5635354511,5.0,0,0,225712.0994535914,2017,0.0,240,-1
134,1767019.458553129,3.534038917106255E7,228,1472598.0959002469,5.0,0,0,504862.7024437508,2017,0.0,240,-1
135,627930.9855839619,1.2558619711679228E7,228,523304.9184896143,5.0,0,0,179408.85302398898,2017,0.0,240,-1
136,1032768.6435188503,2.065537287037699E7,228,860688.392869564,5.0,0,0,295076.75529109983,2017,0.0,240,-1
137,881995.9852184193,1.763991970436837E7,228,735037.5244242138,5.0,0,0,251998.8529195482,2017,0.0,240,-1
138,1615429.713443015,3.230859426886027E7,228,1346266.283917857,5.0,0,0,461551.3466980039,2017,0.0,240,-1
139,1977849.3986562623,3.955698797312521E7,228,1648299.4821254185,5.0,0,0,565099.828187503,2017,0.0,240,-1
140,1397440.385570126,2.7948807711402494E7,228,1164598.409464997,5.0,0,0,399268.6815914642,2017,0.0,240,-1
141,1654184.840463832,3.308369680927661E7,228,1378564.0189433435,5.0,0,0,472624.240132523,2017,0.0,240,-1
142,860366.5465017632,1.720733093003525E7,228,717011.9898918326,5.0,0,0,245819.01328621787,2017,0.0,240,-1
143,1740346.4704552747,3.4806929409105465E7,228,1450369.3698413768,5.0,0,0,497241.8487015067,2017,0.0,240,-1
144,1818794.404702372,3.6375888094047405E7,228,1515746.283513949,5.0,0,0,519655.54420067725,2017,0.0,240,-1
145,0.0,1.2322623003035558E7,240,513471.17551340634,5.0,0,0,176037.47147193656,2018,0.0,240,-1
146,655598.6788337989,1.3111973576675966E7,228,546362.6116012813,5.0,0,0,187313.90823822812,2017,0.0,240,-1
147,893977.0731421475,1.7879541462842934E7,228,745022.3195422834,5.0,0,0,255422.0208977562,2017,0.0,240,-1
148,675958.1538710226,1.3519163077420441E7,228,563329.7842196823,5.0,0,0,193130.90110600632,2017,0.0,240,-1
149,374879.0936284143,7497581.8725682795,228,312416.61589965725,5.0,0,0,107108.31246526114,2017,0.0,240,-1
150,2162195.7099691946,4.3243914199383855E7,228,1801929.9504893275,5.0,0,0,617770.2028483409,2017,0.0,240,-1
151,564408.3362121098,1.1288166724242186E7,228,470366.4338233936,5.0,0,0,161259.5246320312,2017,0.0,240,-1
152,831021.1428509916,1.6620422857019817E7,228,692556.1270373652,5.0,0,0,237434.61224314026,2017,0.0,240,-1
153,660398.8910034397,1.3207977820068782E7,228,550363.0108423391,5.0,0,0,188685.39742955405,2017,0.0,240,-1
154,767247.7508434531,1.5344955016869048E7,228,639408.6785557856,5.0,0,0,219213.64309812925,2017,0.0,240,-1
155,815309.1769015758,1.6306183538031502E7,228,679462.0940158474,5.0,0,0,232945.47911473576,2017,0.0,240,-1
156,2887083.6922979197,5.774167384595834E7,228,2406036.8590755616,5.0,0,0,824881.054942262,2017,0.0,240,-1
157,856348.4222859724,1.7126968445719432E7,228,713663.3668528371,5.0,0,0,244670.9777959919,2017,0.0,240,-1
158,899929.8277101059,1.7998596554202102E7,228,749983.2241886391,5.0,0,0,257122.8079171729,2017,0.0,240,-1
159,882727.887081821,1.7654557741636403E7,228,735647.4765587044,5.0,0,0,252207.96773766296,2017,0.0,240,-1
160,822071.6533372094,1.6441433066744173E7,228,685097.8044062912,5.0,0,0,234877.61523920248,2017,0.0,240,-1
161,1891307.280220324,3.7826145604406446E7,228,1576177.0398925026,5.0,0,0,540373.5086343779,2017,0.0,240,-1
162,2604253.080074905,5.208506160149805E7,228,2170331.576371461,5.0,0,0,744072.3085928294,2017,0.0,240,-1
163,1397593.1604271666,2.7951863208543308E7,228,1164725.7289251708,5.0,0,0,399312.3315506187,2017,0.0,240,-1
164,798665.0063232621,1.597330012646523E7,228,665591.1806069295,5.0,0,0,228190.00180664615,2017,0.0,240,-1
165,1138325.118419831,2.27665023683966E7,228,948657.0132470699,5.0,0,0,325235.74811995146,2017,0.0,240,-1
166,641341.9415880532,1.2826838831761055E7,228,534481.3365987831,5.0,0,0,183240.55473944367,2017,0.0,240,-1
167,1479181.5022184325,2.9583630044368625E7,228,1232719.7944052732,5.0,0,0,422623.2863481233,2017,0.0,240,-1
168,0.0,3.6384770876991086E7,240,1516116.4200505288,5.0,0,0,519782.44109987275,2018,0.0,240,-1
169,2395678.695725165,4.7913573914503254E7,228,1996509.9244590984,5.0,0,0,684479.6273500465,2017,0.0,240,-1
170,523988.18872477615,1.0479763774495514E7,228,436681.1045884836,5.0,0,0,149710.91106422164,2017,0.0,240,-1
171,1552209.6571434045,3.104419314286806E7,228,1293579.9741667788,5.0,0,0,443488.47346954374,2017,0.0,240,-1
172,2245517.8155075195,4.4910356310150355E7,228,1871368.89943141,5.0,0,0,641576.5187164337,2017,0.0,240,-1
173,1253440.3310843478,2.5068806621686935E7,228,1044591.6913618909,5.0,0,0,358125.808881242,2017,0.0,240,-1
174,496943.62701487297,9938872.54029745,228,414142.71663486684,5.0,0,0,141983.89343282074,2017,0.0,240,-1
175,1516619.7505577826,3.0332395011155624E7,228,1263920.0695077954,5.0,0,0,433319.92873079464,2017,0.0,240,-1
176,1146852.7043089606,2.2937054086179193E7,228,955763.729974027,5.0,0,0,327672.20123113133,2017,0.0,240,-1
177,914370.8147823137,1.8287416295646258E7,228,762018.0492509879,5.0,0,0,261248.80422351797,2017,0.0,240,-1
178,657922.1379458428,1.3158442758916844E7,228,548298.9351928163,5.0,0,0,187977.75369881204,2017,0.0,240,-1
179,941884.1400730112,1.8837682801460207E7,228,784947.0952435774,5.0,0,0,269109.7543065744,2017,0.0,240,-1
180,420648.0613132635,8412961.226265263,228,350559.5431536767,5.0,0,0,120185.16037521805,2017,0.0,240,-1
181,0.0,4.9872292776038386E7,240,2078127.7485282896,5.0,0,0,712461.325371977,2018,0.0,240,-1
182,1580493.6112471442,3.1609872224942856E7,228,1317151.2465464287,5.0,0,0,451569.6032134694,2017,0.0,240,-1
183,1623803.4856207583,3.2476069712415136E7,228,1353244.815424547,5.0,0,0,463943.85303450195,2017,0.0,240,-1
184,1522000.9559384712,3.0440019118769396E7,228,1268404.6566802189,5.0,0,0,434857.41598242,2017,0.0,240,-1
185,3314903.0477993865,6.629806095598767E7,228,2762572.8130240217,5.0,0,0,947115.1565141097,2017,0.0,240,-1
186,466301.02855499985,9326020.57109999,228,388605.7979965211,5.0,0,0,133228.86530142845,2017,0.0,240,-1
187,1473274.5559485946,2.9465491118971866E7,228,1227797.0654633571,5.0,0,0,420935.5874138838,2017,0.0,240,-1
188,1600299.0480844919,3.2005980961689807E7,228,1333656.6949918193,5.0,0,0,457228.2994527116,2017,0.0,240,-1
189,1081601.068494477,2.1632021369889524E7,228,901384.343154221,5.0,0,0,309028.8767127075,2017,0.0,240,-1
190,498452.3774797889,9969047.54959577,228,415400.0786016915,5.0,0,0,142414.9649942253,2017,0.0,240,-1
191,447645.27376379375,8952905.475275867,228,373058.4711970715,5.0,0,0,127898.6496467981,2017,0.0,240,-1
192,1341657.5605544995,2.6833151211089965E7,228,1118110.1370782226,5.0,0,0,383330.7315869995,2017,0.0,240,-1
193,2946261.838671785,5.8925236773435645E7,228,2455354.7232604963,5.0,0,0,841789.0967633665,2017,0.0,240,-1
194,550163.649042616,1.100327298085231E7,228,458495.2011094837,5.0,0,0,157189.61401217588,2017,0.0,240,-1
195,391532.4082033625,7830648.164067243,228,326295.14972948673,5.0,0,0,111866.40234381777,2017,0.0,240,-1
196,1104218.159877951,2.2084363197559003E7,228,920232.9673416293,5.0,0,0,315490.90282227146,2017,0.0,240,-1
197,0.0,2.9090371093767818E7,240,1212166.1952945064,5.0,0,0,415576.72991096886,2018,0.0,240,-1
198,1495081.4693760104,2.990162938752018E7,228,1245970.5038118903,5.0,0,0,427166.13410743116,2017,0.0,240,-1
199,920475.2381080928,1.840950476216184E7,228,767105.3515569128,5.0,0,0,262992.9251737406,2017,0.0,240,-1
200,470636.70748811576,9412734.149762306,228,392219.06468152365,5.0,0,0,134467.63071089008,2017,0.0,240,-1
201,2480075.81095801,4.960151621916016E7,228,2066844.7646272576,5.0,0,0,708593.0888451453,2017,0.0,240,-1
202,2712894.832463698,5.425789664927391E7,228,2260871.404288241,5.0,0,0,775112.8092753417,2017,0.0,240,-1
203,1546519.4777615222,3.0930389555230416E7,228,1288837.894342739,5.0,0,0,441862.70793186314,2017,0.0,240,-1
204,1448665.601068213,2.8973312021364234E7,228,1207288.4627292263,5.0,0,0,413904.4574480605,2017,0.0,240,-1
205,293162.1134265654,5863242.268531304,228,244315.34578320108,5.0,0,0,83760.60383616149,2017,0.0,240,-1
206,1489841.7255143276,2.9796834510286525E7,228,1241603.8077937055,5.0,0,0,425669.06443266466,2017,0.0,240,-1
207,3486520.5842606747,6.973041168521343E7,228,2905595.3791834908,5.0,0,0,996148.7383601919,2017,0.0,240,-1
208,1520780.2912396372,3.0415605824792717E7,228,1267387.379534495,5.0,0,0,434508.654639896,2017,0.0,240,-1
209,315249.18734634755,6304983.746926946,228,262722.2641908295,5.0,0,0,90071.19638467066,2017,0.0,240,-1
210,1617086.9092189725,3.234173818437942E7,228,1347647.3571892332,5.0,0,0,462024.83120542037,2017,0.0,240,-1
211,1971631.1072459242,3.943262214491845E7,228,1643117.2844725898,5.0,0,0,563323.1734988351,2017,0.0,240,-1
212,1680101.345870473,3.360202691740943E7,228,1400162.3077055158,5.0,0,0,480028.95596299187,2017,0.0,240,-1
213,1167612.5494686966,2.335225098937391E7,228,973064.5629136049,5.0,0,0,333603.5855624845,2017,0.0,240,-1
214,737827.9889291573,1.4756559778583132E7,228,614890.8470360893,5.0,0,0,210807.9968369019,2017,0.0,240,-1
215,672824.1619711213,1.3456483239422414E7,228,560717.9790796639,5.0,0,0,192235.47484889164,2017,0.0,240,-1
216,1805779.0199355215,3.61155803987104E7,228,1504899.5264325263,5.0,0,0,515936.8628387201,2017,0.0,240,-1
217,619160.6831735002,1.2383213663469993E7,228,515995.9267478423,5.0,0,0,176903.0523352856,2017,0.0,240,-1
218,0.0,9981893.980832702,240,415935.37633389956,5.0,0,0,142598.4854404672,2018,0.0,240,-1
219,1314093.081824698,2.6281861636493936E7,228,1095138.4608493568,5.0,0,0,375455.16623562766,2017,0.0,240,-1
220,376299.2704523352,7525985.409046697,228,313600.16239464603,5.0,0,0,107514.07727209567,2017,0.0,240,-1
221,844790.8106360867,1.689581621272172E7,228,704031.4882527497,5.0,0,0,241368.8030388817,2017,0.0,240,-1
222,1071717.4962559522,2.1434349925119024E7,228,893147.5749688485,5.0,0,0,306204.9989302718,2017,0.0,240,-1
223,834188.9770297921,1.6683779540595828E7,228,695196.1356446553,5.0,0,0,238339.70772279755,2017,0.0,240,-1
224,850021.5147855632,1.700043029571125E7,228,708390.6507585455,5.0,0,0,242863.28993873214,2017,0.0,240,-1
225,955902.6395951548,1.911805279190308E7,228,796629.8277702417,5.0,0,0,273115.0398843297,2017,0.0,240,-1
226,645574.5247242729,1.2911490494485445E7,228,538008.6853424354,5.0,0,0,184449.86420693493,2017,0.0,240,-1
227,934175.3177721241,1.8683506355442464E7,228,778522.7194468247,5.0,0,0,266907.23364917806,2017,0.0,240,-1
228,1906680.4914134112,3.813360982826819E7,228,1588988.7615864729,5.0,0,0,544765.8546895456,2017,0.0,240,-1
229,1278622.3485426987,2.557244697085395E7,228,1065577.8727989977,5.0,0,0,365320.6710121993,2017,0.0,240,-1
230,1135107.0773893662,2.2702141547787305E7,228,945975.163270233,5.0,0,0,324316.3078255329,2017,0.0,240,-1
231,662899.6511310549,1.3257993022621086E7,228,552447.0934959872,5.0,0,0,189399.9003231584,2017,0.0,240,-1
232,1038955.0817878095,2.0779101635756172E7,228,865844.0447618942,5.0,0,0,296844.3090822311,2017,0.0,240,-1
